,Row_ID,Prio,Decission,Decission Date,Feature Number,Axosoft item Number,Status,Completion Date,CBM Stream,Axo_Prio,Time spent
0,55,3,YES,2019-02-07,7374,7374,Completed,2019-03-14,Sales and Quotation,4,35 days 00:00:00.000000000
1,90,4,YES,2019-02-08,7387,7387,Completed,2019-04-18,Sales and Quotation,4,69 days 00:00:00.000000000
2,92,4,YES,2019-04-16,7490,7490,Completed,2019-08-22,Sales and Quotation,5 - high,128 days 00:00:00.000000000
3,98,5,YES,2019-02-08,7373,7373,Completed,2019-03-14,Sales and Quotation,5 - high,34 days 00:00:00.000000000
4,100,4,YES,2019-02-08,7375,7375,Completed,2019-03-14,Sales and Quotation,5 - high,34 days 00:00:00.000000000
5,102,4,YES,2019-02-08,7377,7377,Completed,2019-03-14,Sales and Quotation,4,34 days 00:00:00.000000000
6,108,4,YES,2019-04-16,7465,7465,Completed,2019-05-23,Sales and Quotation,5 - high,37 days 00:00:00.000000000
7,114,5,YES,2019-04-16,7490,7490,Completed,2019-08-22,Sales and Quotation,5 - high,128 days 00:00:00.000000000
8,117,4,YES,2019-03-28,7466,7466,Completed,2019-06-23,Sales and Quotation,5 - high,87 days 00:00:00.000000000
9,119,5,YES,2019-04-16,7467,7467,Completed,2019-05-23,Sales and Quotation,5 - high,37 days 00:00:00.000000000
10,120,5,YES,2019-03-28,7450,7450,Completed,2019-04-18,Sales and Quotation,5 - high,21 days 00:00:00.000000000
11,126,4,YES,2019-04-16,7468,7468,Completed,2019-07-18,Sales and Quotation,5 - high,93 days 00:00:00.000000000
12,127,5,YES,2019-05-21,7511,7511,Completed,2019-06-23,Sales and Quotation,5 - high,33 days 00:00:00.000000000
13,128,5,YES,2019-05-13,7500,7500,Completed,2019-05-23,Sales and Quotation,5 - high,10 days 00:00:00.000000000
14,129,4,YES,2019-06-11,7551,7551,Completed,2019-08-22,Sales and Quotation,4,72 days 00:00:00.000000000
15,131,5,YES,2019-05-21,7512,7512,Completed,2019-07-18,Sales and Quotation,5 - high,58 days 00:00:00.000000000
16,133,5,YES,2019-05-27,7522,7522,Completed,2019-06-23,Sales and Quotation,5 - high,27 days 00:00:00.000000000
17,135,4,YES,2019-06-11,7550,7550,Completed,2019-08-22,Sales and Quotation,4,72 days 00:00:00.000000000
18,136,5,YES,2019-06-13,7553,7553,Completed,2019-06-30,Sales and Quotation,5 - high,17 days 00:00:00.000000000
19,137,4,YES,2019-07-09,7580,7580,Completed,2019-08-22,Sales and Quotation,5 - high,44 days 00:00:00.000000000
31,51,3,YES,2018-08-29,7302,7302,Completed,2019-03-14,Logistics and Purchasing,4,197 days 00:00:00.000000000
32,51,3,YES,2018-08-29,7381,7381,Completed,2019-03-14,Logistics and Purchasing,5 - high,197 days 00:00:00.000000000
33,67,5,YES,2018-10-02,7171,7171,Completed,2018-11-18,Logistics and Purchasing,5 - high,47 days 00:00:00.000000000
36,85,5,YES,2019-02-25,7394,7394,Completed,2019-03-14,Logistics and Purchasing,5 - high,17 days 00:00:00.000000000
37,87,4,YES,2018-03-09,6843,6843,Completed,2019-05-23,Logistics and Purchasing,5 - high,440 days 00:00:00.000000000
40,88,5,YES,2019-02-08,7378,7378,Completed,2019-03-14,Logistics and Purchasing,5 - high,34 days 00:00:00.000000000
41,88,5,YES,2019-02-08,7379,7379,Completed,2019-03-14,Logistics and Purchasing,5 - high,34 days 00:00:00.000000000
42,88,5,YES,2019-02-08,7399,7399,Completed,2019-03-14,Logistics and Purchasing,5 - high,34 days 00:00:00.000000000
43,88,5,YES,2019-02-08,7430,7430,Completed,2019-08-22,Logistics and Purchasing,5 - high,195 days 00:00:00.000000000
44,88,5,YES,2019-02-08,7476,7476,Completed,2019-05-23,Logistics and Purchasing,5 - high,104 days 00:00:00.000000000
45,88,5,YES,2019-02-08,7505,7505,Completed,2019-06-23,Logistics and Purchasing,5 - high,135 days 00:00:00.000000000
46,88,5,YES,2019-02-08,7537,7537,Completed,2019-06-23,Logistics and Purchasing,5 - high,135 days 00:00:00.000000000
47,90,5,YES,2019-02-25,7396,7396,Completed,2019-04-18,Logistics and Purchasing,5 - high,52 days 00:00:00.000000000
48,92,5,YES,2019-02-25,7395,7395,Completed,2019-03-14,Logistics and Purchasing,5 - high,17 days 00:00:00.000000000
50,4,3,YES,2019-02-28,7417,7417,Completed,2019-04-18,Marketing,4,49 days 00:00:00.000000000
51,8,4,YES,2019-02-11,7380,7380,Completed,2019-03-14,Marketing,4,31 days 00:00:00.000000000
52,11,5,YES,2019-05-23,7514,7514,Completed,2019-06-23,Marketing,5 - high,31 days 00:00:00.000000000
53,11,5,YES,2019-05-23,7528,7528,Completed,2019-06-23,Marketing,5 - high,31 days 00:00:00.000000000
55,15,4,YES,2019-07-04,7569,7569,Completed,2019-08-22,Marketing,5 - high,49 days 00:00:00.000000000
56,72,5,YES,2018-10-17,7193,7193,Completed,2018-11-15,Production,5 - high,29 days 00:00:00.000000000
61,90,4,YES,2019-05-22,7524,7524,Completed,2019-07-18,Production,4,57 days 00:00:00.000000000
63,92,4,YES,2019-05-22,7546,7546,Completed,2019-08-22,Production,4,92 days 00:00:00.000000000
64,93,4,YES,2019-05-22,7519,7519,Completed,2019-06-23,Production,5 - high,32 days 00:00:00.000000000
69,142,4,YES,2019-05-21,7542,7542,Completed,2019-06-23,Production,5 - high,33 days 00:00:00.000000000
72,76,4,YES,2019-02-19,6376,6376,Completed,2019-03-14,Finance,5 - high,23 days 00:00:00.000000000
73,82,4,YES,2019-02-19,7400,7400,Completed,2019-04-18,Finance,5 - high,58 days 00:00:00.000000000
